"title","category"
"All-Optical Processing Using Semiconductor Optical Amplifiers in Terabit/s Photonic Communication Systems","Physics"
"Novel Micropatterned Platforms Utilising Inherently Conducting Polymers","Chemistry"
"Gene-Specific Silencing of PrP Expression by Small Interfering RNAs","Biology"
"WebAssess: Automating Website Usability Assessment","Technology"
"Control as a Systems Technology for Innovation and Technology Development and the Analysis and Application of Hybrid Systems","Technology"
"High-Level Programming Models and Tools for Grid Computing","Technology"
"Internet-Based Control of Autonomous Mobile Robots in Dynamic Environments","Technology"
"High Accuracy Electronic Structure for Material Design","Engineering"
"Theoretical Analysis of Static and Dynamic Processes in Nanoscale Systems and Applications to Quantitative Force Interaction Measurements","Engineering"
"The Fis Global Regulator and Virulence Gene Expression in Salmonella Enterica Serovar Typhimurium in Vitro & in Vivo","Biology"
"Modelling Techniques and Simulation Algorithms for High Frequency/High Speed Electronic Circuit and System Design","Technology"
"Centre for Plasma Formation Measurement and Control","Physics"
"Efficiency Orientated Programming Languages: An Average Case Analysis Tool","Technology"
"CSET NCHP: National Centre for Human Proteomics","Biology"
"CSET CRANN: Centre for Research on Adaptive Nanostructures and Nanodevices","Engineering"
"Exploration of Molecular Pathology and Molecular Therapeutics for Inherited Retinal Degenerations","Chemistry"
"Computation of the Mechanical and Electrical Properties of Oxide/Semiconductor Structures","Engineering"
"Photonic Systems Research","Physics"
"Functional and Evolutionary (epi) Genomics of Genocis Imprinting Dosage and Apomixis Technology Development in Plants","Biology"
"Shared Worlds - The Design Development Deployment and Evaluation of Novel Interactive Artifacts and Environments in Public Shared Spaces Based on a Human Activity Conceptual Model","Engineering"
"Using High-Information Content Molecules to Template the Self Assembly in Solution and Self-Organisation at Patterned Substrates of Functional Nanoscale Components and Devices Incorporating Asymmetric Nanoparticles","Engineering"
"CSET DERI: Digital Enterprise Research Centre","Technology"
"Characterisation of Presenilins Involvement in Cell Survival Signalling Pathways","Biology"
"Elucidating Toll-Like Receptor Function Using the Vaccinia Virus Proteins A46R and A52R","Biology"
"Nanoscale Biophotonics: Novel Approaches to Ultra-Sensitive and High Accuracy Fluorescence Techniques","Physics"
"China / Ireland Science & Technology Collaboration Research Fund","Technology"
"CSET NGM: Development Grant for a CSET Proposal to Establish a Centre for Next Generation Manufacturing Jointly Between Industry and a Consortium of Irish Universities","Engineering"
"Chair of Physiology","Education"
"Quantitative Proteomics of Human Platelets","Biology"
"An Integrated Systems Biology Approach to Elucidating the Nature of Molecular Signalling in Microbial-Host Interactions","Biology"
"Genomic Analysis of Biofilm Formation by the Pathogenic Yeast Candida Parapsilosis","Biology"
"Applications of Carbon Nanotubes and Self-Assembling Molecular Nanowires in Electronic and Optoelectronic Devices","Engineering"
"Computational Spintronics at the Molecular Level","Technology"
"Investigation of Active and Passive Spherical Glass Microresonators for Advancements in Telecommunications and Quantum Information Technology","Technology"
"Gene Expression Analysis and 3-Dimensional Computer Modelling of Wnt Signalling Pathways in the Developing Limb and Face of Mouse embryos Using Optical Projection Tomography","Physics"
"CSET APC: Alimentary Pharmabiotic Centre","Biology"
"Functional Bioinformatics of Protein Micro-Domains and the Design of Biologically Active Peptides from Transmembrane Proteins","Biology"
"Molecular Investigation of Host and Parasite-Encoded Factors Involved in Viral Entry into Gram-Positive Bacteria","Chemistry"
"A Novel Virulence Mechanism of the Intracellular Pathogen Rhodococcus Equi: Protein Networks Their Role in Virulence and Impact on Macrophage Physiology","Biology"
"Unravelling the Regulation of Apoptosis in Vivo Animal Models with a Focus on Caspase Independent Cell Death","Policy"
"Targeted Gene Deletion of Dopamine Receptor Subtypes and Associated Transduction Mechanisms: Systematic Comparison of Functional Phenotype and Platforms for Drug Discovery in Congenic Knockouts","Technology"
"Mammalian Population Genomics and Selection: Detection of Loci with Functionally Significant Variation in the Bovine Genome","Biology"
"WebCom-G: Grid Middleware to Hide the Grid","Technology"
"Microstructural Study of Electrodeposited Copper Metallization for Advanced Microelectronic Devices for Information Communications Technology","Technology"
"Carrier Scattering and Localisation in Semiconductor Alloys: From First Principles to Materials","Physics"
"Middleware for Sentient Computing","Technology"
"Multiple Alignment Methods for the Genome Era","Biology"
"Adaptive Information Investigator Awards","Technology"
"Adaptive Information Investigator Awards","Technology"
"Adaptive Information Investigator Awards","Technology"
"Adaptive Information Investigator Awards","Technology"
"Adaptive Information Investigator Awards","Technology"
"Role of the PPAR Co-Activator Pgc-1 in the Molecular Programming of Insulin Sensitivity in Human Skeletal Muscle Cells","Chemistry"
"Understanding & Exploiting Gene Expression Profiles of Cultured Animal Cells in Order to Develop Improved Biopharmaceutical Production Processes","Engineering"
"SFI Research Professorship Award","Technology"
"The Structural Biology of Membrane Proteins: Proteomics via Crystal Structure","Biology"
"Supplementary Request to DNA Double-Strand Break Repair and the Maintenance of Genomic Stability","Biology"
"Supplementary Funding for an Applied Biosystems QTRAP Mass Spectrometer","Engineering"
"SFI Supplementary Equipment Grant","Policy"
"SFI Supplementary Equipment Grant","Policy"
"SFI Supplementary Equipment Grant","Policy"
"CSET BDI: Center for Future Diagnostics and Health","Biology"
"CSET CRANN: Centre for Research on Adaptive Nanostructures and Nanodevices (CRANN)","Engineering"
"CSET CRANN: Construction of Specialised Laboratory for Nanoscience Research - CRANN","Technology"
"Functional Analysis of Novel Surface Proteins of Staphylococcus Aureus","Biology"
"National Communications Network Research Centre","Technology"
"Development of Quantum Memory Using Microwave Manipulated Quantum Bits in Ion Traps","Physics"
"SFI Building Grant","Policy"
"Overactive Nerve Endings in Cholinergic & Nocioceptive Pathways: Structure-Driven Therapeutic Interventions for K+ Channels & Exocytosis","Policy"
"CSET REMEDI: Regenerative Medicine Institute (REMEDI)","Biology"
"CSET ISERC: Irish Software Engineering Research Centre (ISERC)","Engineering"
"Towards Novel Glycoconjuate Based Therapeutics for Angiogenesis","Biology"
"Construction & Development of a New Prototype Measles-Mumps-Rubella Vaccine Based on Recombinant RNA","Biology"
"Structural Basis for the Specificity & Function of RAB Effector Proteins","Biology"
"Biomedical Diagnostics Group","Biology"
"Irish Centre for Applied Neurotherapeutics","Biology"
"Cyclic-di-GMP Signalling and the Environmental Regulation of Virulence Factor Production in Bacterial Pathogens of Humans and Plants","Biology"
"Novel Routes to the Production of Nanoscale Electronic and Photonic Materials via Chemical Self-Assembly and Templated Surface Engineering","Physics"
"Extension for an existing Walton Visitor Award for Professor Fukuda","Education"
"New Technologies for Monitoring Cell Signalling in the Living Brain: Design Characterisation and in-vivo Application to Study Extracellular Glutamate Energy Metabolism and Their Relationship","Biology"
"Anti-Inflammatory Strategies for Combating Neurodegenerative Changes","Biology"
"Efficiency Orientated Programming Languages: An Average Case Analysis Tool","Technology"
"SFI Research Professor - BioSciences Institute","Technology"
"Irish Software Engineering Research Group (ISERG)","Engineering"
"High Frequency wave propagation and its application to imaging science","Physics"
"The physics and applications of semiconductor lasers and LEDs","Physics"
"Miscibility and Phase Separation in Nanoscale Patten Formation","Physics"
"Retinal Imaging","Physics"
"The optical quality of the eye.","Physics"
"DRY LIFE: The Molecular Biology of Anhydrobiosis in Nematode Worms","Chemistry"
"Characterisation of two bacterial viruses with industrial and education relevance","Biology"
"Instrumentation for Membrane Protein Crystallization and Structure Determination","Biology"
"Software Process in global software development","Technology"
"Optics in the modern research laboratory as a teacher training resource","Education"
"Mining of novel antimicrobials from environmental sources.","Biology"
"Inquiry/Research Education Programme: Promoting the Advancement of Scientific Knowledge in Irish Secondary and Third Level Education.","Education"
"Regulation of differentiation of bone marrow cells into lung epithelial cells","Policy"
"Membrane Protein Structure and Function","Biology"
"Membrane Protein Structure and Function","Biology"
"The Chemistry Underpinning miniaturised measurement systems.","Chemistry"
"High throughput screening of potential inhibitors of biliverdin reductase a target for neonatal jaundice.","Biology"
"MUNSTER: Multilingual Ubiquitous Speech Technology: Enhanced and Rethought - Industrial Supplement","Technology"
"Terahertz (THz) Technology: The development of CAD optical tools novel components and applications in medical imaging","Physics"
"Waves - from Huygens Principal to Electrical Resistance","Engineering"
"SFI Science Teacher Assistant Researcher working on the Shared Worlds project.","Technology"
"Fluorescence Lifetime based snsing: Methods & Instrumentation","Technology"
"Extension for an existing Walton Visitor Award for Professor Hamlet","Education"
"Lab on a chip: Exploiting the Microworld","Engineering"
"SMEs in a Sub-Contract Environment","Engineering"
"Analysis of the Human Pgc-1 Gene Promoter and its regulation by Insulin.","Policy"
"Sequencing of commercially available MMR vaccine virus strains and attenuation of cloned virus genes by site directed mutagenesis.","Biology"
"Investigation of the essential YycFG two component signal transduction system in bacillus subtillis: Establishment of its role in coordinating cellular responses to phosphate limitation and growth under aerobic an anaerobic conditions.","Biology"
"Sensor Webs","Technology"
"Wireless Technology Programme for Transition Year Students","Technology"
"Visualisation of Census Data for Ireland","Technology"
"A GIS-based Analysis of Third-level Education Participation in Ireland","Education"
"Design and Preparation of Polymers for Drug Delivery Systems by Controlled/Living Free Radical Polymerization","Engineering"
"Is there a neurophysiologic basis for immunoregulation by probiotics","Biology"
"Synthesis and Characterisation of New Bio-Selective Stationary Phases for Rapid Efficient Multi-Dimensional High-Performance Liquid Chromatography","Chemistry"
"Microfluidic Platforms for Biomolecular Diagnostics","Chemistry"
"In Situ Transmission Electron Characterisation of Microstructural Evolution in Electrodeposited Copper Metalization for Microelectronic Components of ICT Systems.","Technology"
"Application of the Principals of Task Based Assessment of Image Quality to Diverse Areas of Biotechnology and Information Technology.","Technology"
"Computer Software for the Analysis and Visualisation of Duplicate Genes.","Technology"
"Cannabinoids and neural fate","Biology"
"The Study of Hydrogenophilic Acetogens (Homoacetogens) in Anaerobic Sludges","Technology"
"Noradrenergic control of inflammatory processes in the central nervous system","Engineering"
"Natural bacterial protease inhibitors as potential novel therapeutics.","Biology"
"Trichothecene mycotoxin up-regulated wheat genes: analysis of function and regulation.","Policy"
"Correlating LBA adaptive evolution and expression at the genome level","Biology"
"The Mechanistic Role of SAA in regulating angiogenesis and cartilage metabolism in Inflammatory arthritis.","Biology"
"The Role of Fibulin-4 in Tumour Growth and Angiogenesis","Biology"
"Antidepressant efficacy following methylenedioxymethamphetamine-induced serotonin loss.","Biology"
"Investigation of inflammatory mediators on hippocampal synaptic transmission and plasticity","Biology"
"Mechanism of M. tuberculosis-induced macrophage apoptosis in the host response","Biology"
"A role for dietary fatty acids in modulating Th1-mediated disease","Biology"
"Mechanisms and Potential Gene Targets in Immune Mediated Epithelial-Mesenchymal Transdifferentiation","Biology"
"Functional analysis of the African trypanosome ADP ribosylation factor 1","Technology"
"Characterisation of Ceramidases from Arabidopsis","Biology"
"Polarity and function of actin in vesicle traffic in African trypanosomes","Biology"
"Characterisation of a novel mechanism for siderophore mediated iron transport in bacteria","Biology"
"Protease sensitive PrPSc in pathogenesis of TSE","Biology"
"Telomerase activation and telomere maintenance in the development and progression of non-melanoma skin carcinoma","Technology"
"Characterisation of the WAP motif proteins huSWAM1 and huSWAM2","Biology"
"How Lactococcus lactis copes with its waste: the acid adaptive response","Biology"
"Mapping of residues involved in modulating integrin activational conformations.","Biology"
"Stable isotope analysis of trophic niche width and modelling of the Dublin Bay food web","Technology"
"A Rapid Compression Machine and Complementary Modelling Study of a Representative Biodiesel Fuel","Technology"
"Stereoselecetive Synthesis and Functional Evaluation of Cross-Conjugated Cyclopentenones as Peroxisome Proliferator Activated Receptor - gamma Ligands","Chemistry"
"Effect of Nitrogen and Fluorine on Properties and Crystallisation of Ca-Si-Al-O-N-F Glasses","Others"
"New polymer composite materials for nano-engineered surfaces with applications in sensor design","Engineering"
"Peptide mimics of nitrile hydratases: crystallographic and mechanistic studies","Biology"
"Computer modelling of supported TiO2 thin films.","Technology"
"Quinazoline and Oxazoline-containing Ligands for Asymmetric Catalysis","Chemistry"
"A Shared-Memory Hybrid Graphics Cluster for Visualisation and Video Processing","Engineering"
"Multi-Meta-Model Process Execution (M3PE)","Engineering"
"Ant-Assisted Visualization","Others"
"Examination of the influence of implant surfaces on cellular response","Biology"
"Bubble Dynamics in a Rare Cell Discovery Polymerase Chain Reactor","Chemistry"
"Phosphate Glass Fibres as Hosts for Nano-scale Semiconductor Quantum Dots","Physics"
"Coupling between fluid flow induced vibration and noise in tube arrays.","Others"
"Enhanced gas-jet cooling","Others"
"Encryption and decryption of digital holograms of three-dimensional objects","Technology"
"Entropy Generation Rate in Non-Equilibrium Flows","Biology"
"The anatomy of andesite: new insights into the plumbing systems of andesite volcanoes","Technology"
"Regional coherence of late Holocene climate oscillations and tests for solar amplification models","Mathematics"
"Determining 3D Finite Strain Using Medical CT Scanning Technology","Technology"
"In-situ isotope analysis of minerals from the British-Irish Tertiary Igneous Province:tracingigneous processes","Engineering"
"Mathematical studies of water wave phenomena","Mathematics"
"Infinite Dimensional Complex Analysis","Technology"
"Statistical modelling with random effects using exponential family mixture models","Mathematics"
"Mixture Models Classification  and Cluster Analysis for High Dimensional Data","Technology"
"PROBING COLLIDING PLASMAS WITH (RESONANT) IMAGING AND SPECTROSCOPY","Physics"
"Probing the Relativistic Jets of Active Galactic Nuclei","Others"
"Heavy particle physics with DØ at the TEVATRON","Physics"
"Application of statistical physics and to risk analysis in finance and sociology","Physics"
"Synchrotron X-ray Spectroscopic Investigations of Electronic Structure in Organic Semiconductors","Physics"
"Probing the Extragalactic Universe at Very High Energies","Others"
"Angle Resolved Coincidence Photoelectron Spectroscopy of Metal Vapours","Physics"
"Design fabrication and investigation of Si based composite photonic materials","Physics"
"Relationship between genotype and phenotype in child and adolescent ADHD: A genetic association study using neuropsychological performance and task related brain activation as potential endophenotypes","Biology"
"PI Supplement","Others"
"PI Supplement","Others"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Chemopeptidomics: Computer linkage of human proteme-derived short peptides with non peptide drugs - Industrial Supplement","Technology"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Computational Analysis of signalling networks during apoptotic nerve cell death - Industrial Supplement","Technology"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Undergraduate Student Summer Placement","Education"
"Physical Properties of doped molecular wires: Interaction of carbon nanotubes with foreign objects","Chemistry"
"CSET CTVR: Centre for Telecommunications Value Chain Driven Research (CTVR)","Technology"
"Expoliting salivery proteins to target sap - feeding insect pets","Biology"
"SFI Research Professorship","Technology"
"Analysis and visualization of quantified nanoscale events","Technology"
"Quantum dot-cellular interactions for nanoscale drug delivery","Physics"
"The application of event detection techniques as used in video and audio analysis to the detection of events from large-scale sensor networks.","Technology"
"Stereoselective glycosidation with conformationally inverted donors","Others"
"Genetic analysis of synaptic signalling mechanisms in Drosophila and their roles in function and plasticity of the brain.","Biology"
"SFI Research Professorship: Probability and its applications to the development of ICT.","Mathematics"
"Applications of fast wavelength tuneable lasers in future high speed optical networks","Physics"
"Study of elements controlling human interleukin-10 expression and secretion in the probiotic Lactobacillus salivarius","Biology"
"Post-translational machinery responsible for a L-serine to D-alanine conversion in the lantibiotic peptide lacticin 3147; the role of modified amino acids in antimicrobial activity.","Chemistry"
"Systems and Algorithms for protein identification and quantification","Technology"
"The assembly of electronically important materials as structurally and size controlled nanowires into 3-dimensional architectures and construction of Prototype circuitry there from.","Technology"
"Biosynthesis of the Chlorinated Antibiotic ACPA in Streptomyces viridogenes","Chemistry"
"Two in one fluorescent magnetic nanocomposites for biomedical application","Biology"
"From Allenes to Tetracenes: Electroluminescent Organometallic Materials.","Others"
"The PURCHASE Advisor Assistant: Intelligent Customer Support for E-Shopping","Others"
"Modelling Protein Structures on a Genomic Scale by Machine Learning","Biology"
"Rare Earth Doped Transition Metal Magnetic Nanowires","Physics"
"Growth of Magnetic Semiconductors by Pulse-Injection MOCVD in Magnetic Fields","Physics"
"Administration of the second round of the programme of exchange of scientific researchers for research project work and for the purpose of improving scientific competence between China and Ireland.","Technology"
"Applying Mutagenesis Screens in Zebrafish to Identify and Characterise Genes with Unique and Essential Functions in Cone Photoreceptors of the Visual System","Biology"
"Computational and biomedical analysis of heat shock proteins (Hsps): optimisation of protein function and putative drug targets","Biology"
"Phase-amplitude coupling in quantum dot semiconductor lasers","Physics"
"Functional genomics of plant-mycotoxin interactions","Biology"
"Study of Data Partitioning Problems Based on a Realistic Model of Network of Computers","Technology"
"Modulation of matrix metalloproteinase gene expression by the nuclear orphan receptor NURR1","Physics"
"The Role of specific Gluthathione S Transferases (GSTs) in the detoxification of toxic compounds","Chemistry"
"Investigation of the factors that determine physiological heterogeneity in biofilms","Technology"
"The characterisation of genes expressed by the nematode Steinernema carpocapsae when parasitising insects.","Biology"
"Human RAD30 and cell fate following DNA damage.","Biology"
"Characterisation of the Role of Cyclic Strain-Induced Endothelial MMP-2 in Vascular Smooth Muscle Cell Migration","Biology"
"Characterisation and manipulation of human T cells with early immunomodulatory functions","Biology"
"Adaptive Responses of Pseudomonas aeruginosa to Benzalkonium chloride inChemostat Culture","Others"
"Molecular recognition in nuclear receptors - development  of a superfamily-applicable scoring function","Chemistry"
"Identifying protein complexes associated with scaffolds during platelet activaiton","Biology"
"Viral Pellino: A Novel Regulator of Toll-like receptor signalling","Others"
"Stem cells in degenerative disease","Biology"
"Functional genomic approaches to elucidate novel bacterial genes modulating microbial-host interactions","Biology"
"Impacts of exotic plants on native plant-pollinator mutualisms","Others"
"N-riching the  Heterosuperbenzene Family: New Aromatic Platforms for Photoresponsive Metals","Technology"
"Segregative interactions in mixtures of gelling and non-gelling biopolymers","Chemistry"
"Novel Titanocene Anti-Cancer Drugs","Others"
"Three-dimensional holographic image processing","Engineering"
"Hybrid Search Techniques for Multiple Sequence Alignment","Others"
"Sonification in 3D Collaborative Virtual Environments","Others"
"ProGen & BiText","Others"
"IdMan -- Identity Management in Next-Generation Networks","Technology"
"Combination of natural variability estimation with real time measurement for mushroom shelf life assessment","Technology"
"Protocol Foundations for ABC&S Paradigm Realisation in Future 4G/5G Wireless CommunicationNetworks","Technology"
"Towards Early Diagnosis of Atherosclerosis: A novel combined Experimental/Numerical Investigation","Technology"
"NEW DISTANCE MEASURES FOR CONCATENATIVE SPEECH SYNTHESIS","Chemistry"
"Microchemical and isotopic constraints on granite petrogenesis.","Chemistry"
"Compositions and Aspects of the Structures and Interactions of Humin in Irish Soils","Others"
"Nitrogen and carbon isotopes in modern and fossil aquatic ecosystems","Technology"
"Statistical Methods for High Resolution Palaeoclimate Reconstruction","Technology"
"Numerical analysis of nonlinear singularly perturbed reaction-diffusion equations","Chemistry"
"Black Hole X-ray binaries in Outburst and Quiescence","Others"
"Studying strong decay physics from anisotropic lattice QCD","Physics"
"Understanding the Central Engine of Young Stars","Technology"
"Investigating heavy flavour physics on an anisotropic lattice","Physics"
"The IReL (Irish Research eLibrary) Initiative","Technology"
"SFI Research Professorship in Biomedical Proteomics","Biology"
"Tissue engineering for orthopaedic applications: the use of collagen scaffolds for the development of bone graft substitutes","Engineering"
"Genomics of performance in thoroughbred horses","Biology"
"Towards an understanding of enzyme catalysis: a multidisciplinary informatics-based approach","Chemistry"
"Comparative genomic analysis of Candida albicans and Candida dubliniensis:  A tool for the analysis of candidal virulence.","Biology"
"Equipment Supplement","Engineering"
"PI Supplement","Others"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Combating Lung Disease: Delivery of Therapeutic Agents to the Airways","Biology"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"Equipment Supplement","Engineering"
"A time-resolved infra-red spectroscopic study of the activation of silane by electronically excited matal atoms","Technology"
"Tyndall National Institute: Capital Programme Year 1","Policy"
"Tyndall National Institute: National Access Programme (Year 1)","Policy"
"Molecular determinants of seizure-induced neuronal death and epileptogenesis","Chemistry"
"Modelling and design of future communication networks: A hybrid systems approach","Technology"
"SFI Research Professorship: Tetrapyrroles in Biology Chemistry and Medicine","Biology"
"SmartNetSolve: a high level programming system for high performance Grid computing.","Technology"
"Treebank-Based Induction of Wide-Coverage Deep Probabilistic Unification Grammar Resources for Chinese Japanese Arabic Spanish French German and English","Others"
"Foundations of Autonomic Networking","Technology"
"Secure and Predictable Pervasive Computing: Infrastructure and Models","Technology"
"National Communications Network Research Institute","Technology"
